distribution_center_id,distribution_center_name,product_category,product_name,product_department,nums_of_items_in_stock,nums_of_sold_items
3,Houston TX,Accessories,Husky Animal Hat with Mittens,Women,10,4
3,Houston TX,Accessories,NEW Aluminum Credit Card Wallet - RFID Blocking Case - Pink (New Products),Women,6,3
4,Los Angeles CA,Accessories,DC Men's Big Star Beanie,Men,14,5
4,Los Angeles CA,Accessories,DC Men's Ya Heard Flexfit Hat,Men,20,8
4,Los Angeles CA,Accessories,DC Men's Chino Pant,Men,17,7
4,Los Angeles CA,Accessories,DC Men's Coverage II New Era Cap,Men,24,9
4,Los Angeles CA,Accessories,DC Men's Take That Hat,Men,23,10
4,Los Angeles CA,Accessories,DC Men's Chinook 5 Belt,Men,14,5
4,Los Angeles CA,Accessories,DC Men's Clap Beanie,Men,10,4
1,Memphis TN,Accessories,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,Women,19,8
1,Memphis TN,Accessories,Enzyme Regular Solid Army Caps-Black W35S45D,Women,13,4
1,Memphis TN,Accessories,Low Profile Dyed Cotton Twill Cap - Khaki W39S55D,Men,14,5
1,Memphis TN,Accessories,Enzyme Regular Solid Army Caps-Olive W35S45D (One Size),Women,7,2
1,Memphis TN,Accessories,Washed Hunting Fishing Outdoor Hat-Camo W11S41D,Men,19,8
1,Memphis TN,Accessories,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,Women,25,9
1,Memphis TN,Accessories,Fishing Hat (01)-Khaki W10S32F,Men,25,11
1,Memphis TN,Accessories,Washed Canvas Ivy Cap - Black W11S64C,Women,15,7
1,Memphis TN,Accessories,4 Panel Large Bill Flap Hat W15S48B (One Size Fits Most/Khaki),Men,19,7
1,Memphis TN,Accessories,Fashion Plaid Ivy Cap - Blue W10S69F,Men,20,7
1,Memphis TN,Accessories,Low Profile Dyed Cotton Twill Cap - Black W39S55D,Men,3,1
2,Chicago IL,Accessories,Mr. Smith Jimi Sports Wallet,Men,23,8
6,Port Authority of New York/New Jersey NY/NJ,Accessories,UR Men's Tech Leather Cashmere Glove,Men,16,6
6,Port Authority of New York/New Jersey NY/NJ,Accessories,UR Men's Tech Leather Fleece Glove,Men,15,6
4,Los Angeles CA,Accessories,Mens Soft Thermal Insulated Wrist Length Leather Gloves - Black (Sizes S-XXL),Men,14,5
10,Savannah GA,Accessories,Black Terry 'Y' Suspenders,Men,33,11
10,Savannah GA,Accessories,CTM Women's Skinny Leather Belt,Women,15,6
10,Savannah GA,Accessories,Button-End Elastic Dress Suspender Brass Hdwe,Men,7,3
10,Savannah GA,Accessories,Zippered Long Credit Card Wallet,Men,9,4
10,Savannah GA,Accessories,JUMBO Earmuffs with Thinsulate Lining by CTM Super Warm,Men,18,6
10,Savannah GA,Accessories,D&Y Women's Animal Face Knit Hat,Women,8,4
8,Mobile AL,Accessories,Aegean Wool Greek Fisherman Cap,Men,14,5
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fox Men's Core Wallet,Men,12,5
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fox Men's Mr Clean Web Belt,Men,4,1
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fox Men's Flex 45 Flexfit Hat,Men,28,11
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fox Men's Next Century Flexfit Hat,Men,41,13
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fox Men's C Note Wallet,Men,9,4
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fox Men's Corpo Flexfit Hat,Men,30,10
3,Houston TX,Accessories,G&G Black Wayfarer 80's Blues Brothers Sunglasses Super Dark,Women,15,7
3,Houston TX,Accessories,G&G Black Wayfarer 80's Blues Brothers Sunglasses Super Dark,Men,29,12
3,Houston TX,Accessories,G&G Bifocal Sun Readers Spring Hinge Sunglasses Eye Glasses,Women,12,5
10,Savannah GA,Accessories,GII Men's Sheepskin Leather Glove,Men,15,6
4,Los Angeles CA,Accessories,GENUINE LEATHER SNAP ON WHITE BELT WITH A DETACHABLE BUCKLE FITS ANY KIND OF BUCKLE,Men,14,6
4,Los Angeles CA,Accessories,EarPro Fleece Ear Warmers (6 colors to choose from) Very Warm!,Men,15,6
4,Los Angeles CA,Accessories,EarPro Fleece Ear Warmers Very warm! (Black),Women,7,3
4,Los Angeles CA,Accessories,Blues Brothers Wayfarer Dark Black Sun Glasses (More Colors),Women,12,4
4,Los Angeles CA,Accessories,GENUINE LEATHER SNAP ON STUDDED WHITE PIANO BELT FITS ANY BUCKLE,Women,26,10
4,Los Angeles CA,Accessories,FAUX LEATHER SNAP ON BLACK STUDDED BELT FITS ANY BUCKLE,Men,46,15
4,Los Angeles CA,Accessories,Lot of 24 Nerd Glasses Dark and Clear Lenses Buddy Holly Wayfarer,Women,9,4
1,Memphis TN,Accessories,HDE Ladies Fashion Leather Skinny Belt with Bow Buckle & Gold Accents,Women,19,7
1,Memphis TN,Accessories,HDE Pattern Suspenders,Men,8,4
1,Memphis TN,Accessories,HDE Classic Bow Tie,Men,26,9
1,Memphis TN,Accessories,HDE Colorful Pattern Suspenders,Men,21,7
1,Memphis TN,Accessories,HDE Solid Color Suspenders - 20 Styles,Men,29,12
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Polar Ex Fleece 6 in 1 Hood -BLACK,Women,14,5
6,Port Authority of New York/New Jersey NY/NJ,Accessories,HotHeadz Ponytail Ear Warmer,Women,29,11
2,Chicago IL,Accessories,LRG Hustle Trees Hat,Men,38,14
5,New Orleans LA,Accessories,Lee Men's Comfort Stretch Braided Belt,Men,30,11
8,Mobile AL,Accessories,Fashion Credit Card Wheel License Id Wallet Holder Organizer,Women,20,8
10,Savannah GA,Accessories,Spy Optic Hielo Wrap Sunglasses,Men,23,8
10,Savannah GA,Accessories,Spy Optic Cooper Xl Wrap Sunglasses,Women,13,4
10,Savannah GA,Accessories,Spy Optic Dirty Mo Wrap Sunglasses,Women,3,1
10,Savannah GA,Accessories,Spy Optic Haymaker Sunglasses,Women,6,3
10,Savannah GA,Accessories,Spy Optic Dirty MO Sunglasses,Women,6,3
10,Savannah GA,Accessories,Spy Optic Dirty MO Sunglasses,Men,24,10
10,Savannah GA,Accessories,Spy Optic Dirty Mo Wrap Sunglasses,Men,24,8
10,Savannah GA,Accessories,Spy Optic Touring Square Sunglasses,Men,8,3
10,Savannah GA,Accessories,Spy Optic Helm Rectangle Sunglasses,Men,16,6
10,Savannah GA,Accessories,Spy Optic Cooper Wrap Sunglasses,Men,27,10
4,Los Angeles CA,Accessories,Black Fashion Magic Wallet and Credit/id Case Holder Fathers Gift 5 Card Hold 6 Color Available By Y&G YCM0201,Men,24,8
4,Los Angeles CA,Accessories,Set of 7 Designer Italian Style Hankies Set for Men with Gift Box --- Pink Blur White Mh1030,Men,17,6
4,Los Angeles CA,Accessories,Silver stainless steel Slim Money Clip groomsman gift MC1016 One Size Silver,Men,6,3
4,Los Angeles CA,Accessories,Black designer Magic Wallet and credit card holder wedding Gift mens magnetic money clip 6 color available By Y&G YCM0101,Men,18,8
4,Los Angeles CA,Accessories,Men's 7 Piece Cotton Handkerchief Set Good Useful Tool Gift Ideas with Box - Blue Checker Mh1048,Men,19,6
4,Los Angeles CA,Accessories,Brown/ Beige Fine Leather Wallet-Money Clip Mans Wallet Credit Card Holder with Magnetic Y&G Money Clip MW1001 One Size Brown,Men,17,7
4,Los Angeles CA,Accessories,Black/White Leather Bi-Fold Money Clip Wallet for men Cheapest Gift Y&G Money Clip WM1002 One Size Beige,Men,19,7
3,Houston TX,Accessories,180s Men's Urban Ear Warmer,Men,33,13
3,Houston TX,Accessories,180s Men's Soft Shell Ear Warmer,Men,19,7
3,Houston TX,Accessories,180s Women's Tahoe Earmuff,Women,6,3
3,Houston TX,Accessories,180s Men's Admiral Ear Warmer,Men,20,8
3,Houston TX,Accessories,180s Men's Foundation Glove,Men,28,11
3,Houston TX,Accessories,180s Men's Weekender TecTouch Glove,Men,14,5
3,Houston TX,Accessories,180s Women's Keystone Earmuff,Women,17,6
3,Houston TX,Accessories,Ear Warmers Stretch Fleece Tahoe,Women,18,6
3,Houston TX,Accessories,180s Women's Down Ear Warmer,Women,12,5
3,Houston TX,Accessories,180s Men's Chesterfield Ear Warmer,Men,22,8
3,Houston TX,Accessories,180s Men's Foundation Glove,Women,14,4
3,Houston TX,Accessories,180s Men's Tec Fleece Ear Warmer,Men,39,14
3,Houston TX,Accessories,180s Women's Lush Ear Warmer,Women,26,9
3,Houston TX,Accessories,Degrees by 180'S Mens Black Fleece Ear Warmers,Men,5,2
3,Houston TX,Accessories,180's Men's Metro Ear Warmers - Black,Men,11,4
1,Memphis TN,Accessories,Beza Geneva Money Clamp Black Matte with Wallet,Men,6,3
3,Houston TX,Accessories,Buff UV Head Cover,Men,10,4
3,Houston TX,Accessories,Buff Headwear  Polar Cyclone,Men,33,14
9,Charleston SC,Accessories,Coal Men's The Yukon,Men,25,10
9,Charleston SC,Accessories,Coal Men's The Frena Solid,Men,19,8
9,Charleston SC,Accessories,Coal Women's The Leila,Women,26,11
5,New Orleans LA,Accessories,Domo Men's Plush Wallet,Men,27,10
2,Chicago IL,Accessories,Dopp Regiment Front Pocket Getaway,Men,28,10
2,Chicago IL,Accessories,Dopp Regatta 88 Series Front Pocket Wallet,Men,22,9
4,Los Angeles CA,Accessories,Dosh Street Billfold Wallet,Women,18,8
4,Los Angeles CA,Accessories,Dosh 3 Card Lux Money Clip Wallet,Men,14,6
4,Los Angeles CA,Accessories,Dosh 6 Card Lux Stainless Steel Money Clip Wallet,Women,12,5
4,Los Angeles CA,Accessories,Dosh Magic Wallet,Men,13,4
4,Los Angeles CA,Accessories,Dosh Street Billfold Wallet,Men,32,11
4,Los Angeles CA,Accessories,Dosh 6 Card Lux Stainless Steel Money Clip Wallet,Men,19,6
1,Memphis TN,Accessories,Echo Design Women's Touch Ruched Gloves,Women,17,6
1,Memphis TN,Accessories,Echo Design Women's Racking Stitch Newsboy Hat,Women,8,3
1,Memphis TN,Accessories,Echo Design Women's Basic Touch Glove,Women,11,4
1,Memphis TN,Accessories,Echo Design Women's Echo Touch Warmers Knit Glove,Women,20,7
1,Memphis TN,Accessories,Echo Design Women's Sculptural Pleats Muffler,Women,14,4
